Test ID,Section,Passage ID,Figure ID,Figure ID 2,Question,A,B,C,D,Answers,,,,,,,,,,,,,,
SDBBP01,1.0,SDBBP_02-2_01,,,Which choice completes the text with the most logical and precies word or phrase?,unpredictable,important,secretive,ordinary,,,,,,,,,,,,,,,
SDBBP02,1.0,SDBBP_02-2_02,,,Which choice completes the text with the most logical and precies word or phrase?,indifference to ,enthusiasm for,concern about,surprise at,,,,,,,,,,,,,,,
SDBBP03,1.0,SDBBP_02-2_03,,,Which choice completes the text with the most logical and precies word or phrase?,conceptualize,neglect,illustrate,overcome,,,,,,,,,,,,,,,
SDBBP04,1.0,SDBBP_02-2_04,,,Which choice completes the text with the most logical and precies word or phrase?,selects,originates,conditions,replenishes,,,,,,,,,,,,,,,
SDBBP05,1.0,SDBBP_02-2_05,,,Which choice completes the text with the most logical and precies word or phrase?,reflect,receive,evaluate,mimic,,,,,,,,,,,,,,,
SDBBP06,1.0,SDBBP_02-2_06,,,Which choice completes the text with the most logical and precies word or phrase?,surpassed by,comparable to,independent of,obtained from,,,,,,,,,,,,,,,
SDBBP07,1.0,SDBBP_02-2_07,,,Which choice completes the text with the most logical and precies word or phrase?,catastrophic,elusive,abrupt,imminent,,,,,,,,,,,,,,,
SDBBP08,1.0,SDBBP_02-2_08,,,"Based on the texts, how would the author of Text 2 most likely respond to the underlined claim in Text 1?",By broadly agreeing with the claim but objecting that the timeline it presupposes conflicts with the findings of the genetic analysis conducted by Storey’s team,By faulting the claim for implying that domestic animals couldn’t have been transferred from South America to the Polynesian Islands as well,,"By critiquing the claim for being based on an assumption that before the
European invasion of South America, the chickens of Europe were genetically uniform",,,,,,,,,,,,,,,
SDBBP09,1.0,SDBBP_02-2_09,,,"According to the text, what is true about Mother?",She wishes that more ladies would visit her.,Birthdays are her favorite special occasion.,She creates stories and poems for her children.,Reading to her children is her favorite activity.,,,,,,,,,,,,,,,
SDBBP10,1.0,SDBBP_02-2_10,,,"Which finding, if true, would most directly support the team’s idea?","On average, participants found most of the purple wings and blue wings and far fewer of the iridescent wings.","On average, participants found the iridescent wings faster than they found the purple wings or blue wings.",Some participants reported that the purple wings were easier to see than the blue wings.,Some participants successfully found all of the wings on the leaves.,,,,,,,,,,,,,,,
SDBBP11,1.0,SDBBP_02-2_11,SDBBP_F_02-2_11,,Which choice best describes data in the graph that support Ayalew and her colleagues’ hypothesis?,"The control plants contained higher levels of zinc than iron, but plants exposed to kanamycin contained higher levels of iron than zinc.",Both groups of plants contained more than 200 parts per million of both iron and zinc.,Zinc levels were around 300 parts per million in the control plants but nearly 400 parts per million in the plants exposed to kanamycin.,The plants exposed to kanamycin showed lower levels of iron and zinc than the control plants did.,,,,,,,,,,,,,,,
