Passage ID,Introduction,Passage,https://staging1.prestigei.com/passage,Figure ID 1,Figure ID 2,,,,,,,,,,,,,,,,,,,,
SDBBP_04-1_01,,"Although critics believed that customers would never agree to pay to pick their own produce on farms, such concerns didn't ______ Booker T. Whatley’s efforts to promote the
practice. Thanks in part to Whatley’s determined advocacy, farms that allow visitors to pick their own apples, pumpkins, and other produce can be found throughout the United States.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-1_02,,"The artisans of the Igun Eronmwon guild in Benin City, Nigeria, typically ______ the bronze- and brass-casting techniques that have been passed down through their families since the thirteenth century, but they don’t strictly observe every tradition; for example, guild members now use air-conditioning motors instead of handheld bellows to help heat their forges.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-1_03,,"Set in a world where science fiction tropes exist as everyday realities, Charles Yu’s 2010 novel $\textit{How to Live Safely in a Science Fictional Universe}$ traces a time traveler’s quest to find his father. Because the journey at the novel’s center is so ______ , with the protagonist
ricocheting chaotically across time, the reader often wonders whether the pair will ever be reunited.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-1_04,,"In a 2019 study, Jeremy Gunawardena and colleagues found that the single-celled protozoan $\textit{Stentor roeseli}$ not only uses strategies to escape irritating stimuli but also switches strategies when one fails. This evidence of protozoans sophisticatedly “changing their minds” demonstrates that single-celled organisms may not be limited to ______
behaviors.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-1_05,,"Some economic historians ______ that late nineteenth- and early twentieth-century
households in the United States experienced an economy of scale when it came to food purchases—they assumed that large households spent less on food per person than did small households. Economist Trevon Logan showed, however, that a close look at the available data disproves this supposition.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-1_06,"The following text is adapted from Karel Capek’s 1920 play $\textit{R.U.R. (Rossum’s Universal Robots),}$ translated by Paul Selver and Nigel Playfair in 1923. Fabry and Busman are telling Miss Glory why their company manufactures robots.","FABRY: One Robot can replace two and a half $\textit{workmen.}$ The human machine, Miss Glory, was terribly $\textit{imperfect.}$ It had to be removed sooner or later.
BUSMAN: It was too expensive.
FABRY: It was not $\textit{effective.]$ It no longer $\underbar{answers}$ the requirements of $\textit{modern engineering.}$ Nature has no idea of keeping pace with $\textit{modern labor.}$",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-1_07,,"In 2014, Amelia Quon and her team at NASA set out to build a helicopter capable of flying on Mars. Because Mars’s atmosphere is only one percent as dense as Earth’s, the air of Mars would not provide enough resistance to the rotating blades of a standard helicopter for the aircraft to stay aloft. For five years, Quon’s team tested designs in a lab that mimicked Mars’s atmospheric conditions. The craft the team ultimately designed can fly on Mars because its blades are longer and rotate faster than those of a helicopter of the same size built for Earth.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-1_08,,"In West Africa, jalis have traditionally been keepers of information about family histories and records of important events. They have often served as teachers and advisers, too.
New technologies may have changed some aspects of the role today, but jalis continue to be valued for knowing and protecting their peoples’ stories.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-1_09,"The following text is adapted from Jack London’s 1903 novel $\textit{The Call of the Wild.}$ Buck is a sled dog living with John Thornton in Yukon, Canada.","Thornton alone held [Buck]. The rest of mankind was as nothing. Chance travellers might praise or pet him; but he was cold under it all, and from a too demonstrative man he would get up and walk away. When Thornton’s partners, Hans and Pete, arrived on the long-expected raft, Buck refused to notice them till he learned they were close to Thornton; after that he tolerated them in a passive sort of way, accepting favors from them as though he favored them by accepting.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-1_10,,"The $\textit{Souls of Black Folk}$ is a 1903 book by W.E.B. Du Bois. In the book, Du Bois suggests that upon hearing Black folk songs, he felt an intuitive and sometimes unexpected sense of
cultural recognition: ______",,,,,,,,,,,,,,,,,,,,,,,
