Test ID,Section,Passage ID,Figure ID,Figure ID 2,Question,A,B,C,D,Answers,,,,,,,,,,,,,,
SDBBP01,1.0,SDBBP_03-2_01,,,Which choice completes the text with the most logical and precise word or phrase?,skeptical,observant,critical,confident,,,,,,,,,,,,,,,
SDBBP02,1.0,SDBBP_03-2_02,,,Which choice completes the text with the most logical and precise word or phrase?,selecting,inspecting,creating,deciding,,,,,,,,,,,,,,,
SDBBP03,1.0,SDBBP_03-2_03,,,Which choice completes the text with the most logical and precise word or phrase?,impartial,offhand,presistent,mandatory,,,,,,,,,,,,,,,
SDBBP04,1.0,SDBBP_03-2_04,,,Which choice completes the text with the most logical and precise word or phrase?,resilient,inadequate,dynamic,satisfactory,,,,,,,,,,,,,,,
SDBBP05,1.0,SDBBP_03-2_05,,,Which choice completes the text with the most logical and precise word or phrase?,question,react to,perceive,conform to,,,,,,,,,,,,,,,
SDBBP06,1.0,SDBBP_03-2_06,,,Which choice completes the text with the most logical and precise word or phrase?,validate,interpret,relate,accommodate,,,,,,,,,,,,,,,
SDBBP07,1.0,SDBBP_03-2_07,,,Which choice best states the main purpose of the text?,To express hope that a child will have the same accomplishments as his parent did,To suggest that raising a child involves many struggles,To warn a child that he will face many challenges throughout his life,To encourage a child to embrace the experiences life will offer,,,,,,,,,,,,,,,
SDBBP08,1.0,SDBBP_03-2_08,,,Which choice best states the main purpose of the text?,To discuss von Ahn’s invention of reCAPTCHA,To explain how digital scanners work, To call attention to von Ahn’s book-digitizing project,To indicate how popular reCAPTCHA is,,,,,,,,,,,,,,,
SDBBP09,1.0,SDBBP_03-2_09,,,"Based on the texts, what would the paleontologists in Text 2 most likely say about the researchers’ initial thought in Text 1?"," It is understandable because the fossil does look like it could be related to birds, even though $\textit{0. khaungraae}$ is probably a lizard.", It is confusing because it isn’t clear what caused the researchers to think that $\textit{O. khaungraae}$ might be related to birds., It is flawed because the researchers mistakenly assumed that $\textit{O. khaungraae}$ must be a lizard., It is reasonable because the $\textit{O. khaungraae}$ skull is about the same size as the skull of the second fossil but is shaped differently.,,,,,,,,,,,,,,,
SDBBP10,1.0,SDBBP_03-2_10,,,"Based on the text, in what way is the human mind like a flower?",It becomes increasingly vigorous with the passage of time., It draws strength from changes in the weather., It requires proper nourishment in order to thrive.,It perseveres despite challenging circumstances.,,,,,,,,,,,,,,,
