Passage ID,Introduction,Passage,https://staging1.prestigei.com/passage,Figure ID 1,Figure ID 2,,,,,,,,,,,,,,,,,,,,
SDBBP_04-2_01,,"The fashion resale market, in which consumers purchase secondhand clothing from stores and online sellers, generated nearly $30 billion globally in 2019. Expecting to see continued growth, some analysts ______ that revenues will more than double by 2028.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-2_02,,"According to botanists, a viburnum plant experiencing insect damage may develop erineum$\text{---}$a discolored, felty growth$\text{---}$on its leaf blades. A ______ viburnum plant, on the other hand, will have leaves with smooth surfaces and uniformly green coloration",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-2_03,,"When Mexican-American archaeologist Zelia Maria Magdalena Nuttall published her 1886 research paper on sculptures found at the ancient Indigenous city of Teotihuacan in present-day Mexico, other researchers readily ______ her work as groundbreaking; this
recognition stemmed from her convincing demonstration that the sculptures were much older than had previously been thought.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-2_04,,"Like other tribal nations, the Muscogee (Creek) Nation is self-governing; its National Council generates laws regulating aspects of community life such as land use and healthcare, while the principal chief and cabinet officials ______ those laws by devising policies and administering services in accordance with them.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-2_05,,"For a 2020 exhibition, photographer and neurobiologist Okunola Jeyifous ______ a series of
new images based on a series of alphabet posters from the 1970s known as the “Black ABCs,” which featured Black children from Chicago. Jeyifous photographed the now-adult models and layered the photos over magnified images of the models’ cells, resulting in what he called “micro and macro portraiture.”",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-2_06,,"Researcher Haesung Jung led a 2020 study showing that individual acts of kindness can ______ prosocial behavior across a larger group. Jung and her team found that bystanders
who witness a helpful act become more likely to offer help to someone else, and in doing so, can inspire still others to act.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-2_07,,"Some bird species don’t raise their own chicks. Instead, adult females lay their eggs in other nests, next to another bird species’ own eggs. $/underline{Female cuckoos have been seen quickly laying eggs in the nests of other bird species when those birds are out looking for food.}$ After the eggs hatch, the noncuckoo parents will typically raise the cuckoo chicks as if they were their own offspring, even if the cuckoos look very different from the other chicks.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-2_08,The following text is adapted from Susan Glaspell's 1912 short story ‘“Out There.’” An elderly shop owner is looking at a picture that he recently acquired and hopes to sell.,"It did seem that the picture failed to fit in with the rest of the shop. A persuasive young fellow who claimed he was closing out his stock let the old man have it for what he called a song. It was only a little out-of-the-way store which subsisted chiefly on the framing of pictures. The old man looked around at his views of the city, his pictures of cats and dogs, his flaming bits of landscape. “Don’t belong in here,” he fumed.
And yet the old man was secretly proud of his acquisition. There was a hidden dignity in his scowling as he shuffled about pondering the least ridiculous place for the picture.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-2_09,,"$\textbf{Text1}$ $\\ \, \\$
Digital art, the use of digital technology to create or display images, isn’t really art at all. It doesn’t require as much skill as creating physical art. “Painting” with a tablet and stylus is much easier than using paint and a brush: the technology is doing most of the work. $\\ \, \\$
$\textbf{Text2}$ $\\ \, \\$
The painting programs used to create digital art involve more than just pressing a few buttons. In addition to knowing the fundamentals of art, digital artists need to be familiar with sophisticated software. Many artists will start by drawing an image on paper before transforming the piece to a digital format, where they can apply a variety of colors and techniques that would otherwise require many different traditional tools.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_04-2_10,,"Organic farming is a method of growing food that tries to reduce environmental harm by using natural forms of pest control and avoiding fertilizers made with synthetic materials. Organic farms are still a small fraction of the total farms in the United States, but they have been becoming more popular. According to the US Department of Agriculture, in 2016 California had between 2,600 and 2,800 organic farms and ______",,SBBP_F_04-2_10,,,,,,,,,,,,,,,,,,,,,
