Test ID,Section,Passage ID,Figure ID,Figure ID 2,Question,A,B,C,D,Answers,,,,,,,,,,,,,,
SDBBP01,1.0,SDBBP_03-1_01,,,Which choice completes the text with the most logical and precise word or phrase?,indicated by,handmade from ,represented by,collected with,,,,,,,,,,,,,,,
SDBBP02,1.0,SDBBP_02-2_02,,,Which choice completes the text with the most logical and precise word or phrase?,decisive,lacking,wariable,dormant,,,,,,,,,,,,,,,
SDBBP03,1.0,SDBBP_02-2_03,,,Which choice completes the text with the most logical and precise word or phrase?,deprived from,recognized in,confined to,repressed by,,,,,,,,,,,,,,,
SDBBP04,1.0,SDBBP_02-2_04,,,Which choice completes the text with the most logical and precise word or phrase?,legitimate,impenetrable,compelling,indecipherable,,,,,,,,,,,,,,,
SDBBP05,1.0,SDBBP_02-2_05,,,"As used in the text, what does the word ""assumed"" most nearly mean?",Acquired,Acknowledged,Imitated,Speculated,,,,,,,,,,,,,,,
SDBBP06,1.0,SDBBP_02-2_06,,,Which choice best describes the overall structure of the text?,"The speaker questions an increasingly prevalent attitude, then summarizes his worldview.","The speaker regrets his isolation from others, then predicts a profound change in society.","The speaker concedes his personal shortcomings, then boasts of his many achievements.","The speaker addresses a criticism leveled against him, then announces a grand ambition of his",,,,,,,,,,,,,,,
SDBBP07,1.0,SDBBP_02-2_07,,,"According to the text, why are ecologists worried about Pando?", It isn’t growing at the same rate it used to~,It isn’t producing young trees anymore.,It can’t grow into new areas because it is blocked by fences.,Its root system can’t support many more new trees.,,,,,,,,,,,,,,,
SDBBP08,1.0,SDBBP_02-2_08,,,"According to the text, how did the researchers determine the level of surprise displayed by the cats in the study?",They watched how each cat moved its ears and head.,They examined how each cat reacted to the voice of a stranger.,They studied how each cat physically interacted with its owner.,They tracked how each cat moved around the room.,,,,,,,,,,,,,,,
SDBBP09,1.0,SDBBP_02-2_09,,,Which choice best describes the main idea of the text?,"Smart-Grosvenor’s unconventional book $\textit{Vibration Cooking: or, the Travel Notes of a Geechee Girl}$ is an important contribution to food writing.","Smart-Grosvenor held many different positions over her life, including reporter
and food writer.","Smart-Grosvenor’s groundbreaking book $\textit{Vibration Cooking: or, the Travel Notes of a Geechee Girl}$ didn’t receive the praise it deserved when it was first published in 1970.",Smart-Grosvenor was a talented chef whose work inspired many people to start cooking for themselves.,,,,,,,,,,,,,,,
SDBBP10,1.0,SDBBP_02-2_10,,,Which quotation from $\textit{O Pioneers!}$ most effectively illustrates the claim?,"“She looked fixedly up the bleak street as if she were gathering her strength to face something, as if she were trying with all her might to grasp a situation which, no matter how painful, must be met and dealt with somehow/*","“She had never known before how much the country meant to her. The
chirping of the insects down in the long grass had been like the sweetest music. She had felt as if her heart were hiding down there, somewhere, with the quail and the plover and all the little wild things that crooned or buzzed in the sun. Under the long shaggy ridges, she felt the future stirring.**","“Alexandra drove off alone. The rattle of her wagon was lost in the howling of
the wind, but her lantern, held firmly between her feet, made a moving point of light along the highway, going deeper and deeper into the dark country.”","“Alexandra drew her shawl closer about her and stood leaning against the
frame of the mill, looking at the stars which glittered so keenly through the frosty autumn air. She always loved to watch them, to think of their vastness and distance, and of their ordered march. It fortified her to reflect upon the great operations of nature, and when she thought of the law that lay behind them, she felt a sense of personal security.”",,,,,,,,,,,,,,,
SDBBP11,1.0,SDBBP_02-2_11,,,Which choice most logically completes the text?,is not conclusive evidence that the figure is Venus.,suggests that Venus was often depicted fishing.,eliminates the possibility that the figure is Venus.,would be difficult to account for if the figure is not Venus.,,,,,,,,,,,,,,,
SDBBP12,1.0,SDBBP_02-2_12,,,Which choice most logically completes the text?,allow judges to craft judicial opinions without needing to consult philosophical works.,help judges improve the arguments they put forward in their judicial opinions.,make judicial opinions more comprehensible to readers without legal or philosophical training.,bring judicial opinions in line with views that are broadly held among philosophers.,,,,,,,,,,,,,,,
