Test ID,Section,Passage ID,Figure ID,Figure ID 2,Question,A,B,C,D,Answers,,,,,,,,,,,,,,
SDBBP01,1.0,SDBBP_04-1_01,,,Which choice completes the text with the most logical and precise word or phrase?,enhance,hinder,misrepresent,aggravate,,,,,,,,,,,,,,,
SDBBP02,1.0,SDBBP_04-1_02,,,Which choice completes the text with the most logical and precise word or phrase?,experiment with,adhere to,improve on,grapple with,,,,,,,,,,,,,,,
SDBBP03,1.0,SDBBP_04-1_03,,,Which choice completes the text with the most logical and precise word or phrase?,haphazard,premeditated,inspirational,fruitless,,,,,,,,,,,,,,,
SDBBP04,1.0,SDBBP_04-1_04,,,Which choice completes the text with the most logical and precise word or phrase?,aggressive,rudimentary,evolving,advantageous,,,,,,,,,,,,,,,
SDBBP05,1.0,SDBBP_04-1_05,,,Which choice completes the text with the most logical and precise word or phrase?,surmised,contrived,questioned,regretted,,,,,,,,,,,,,,,
SDBBP06,1.0,SDBBP_04-1_06,,,"As used in the text, what does the word ""answers"" most nearly mean?",Explains,Rebuts,Defends,Fulfills,,,,,,,,,,,,,,,
SDBBP07,1.0,SDBBP_04-1_07,,,"According to the text, why would a helicopter built for Earth be unable to fly on Mars?",Because Mars and Earth have different atmospheric conditions,Because the blades of helicopters built for Earth are too large to work on Mars,Because the gravity of Mars is much weaker than the gravity of Earth,Because helicopters built for Earth are too small to handle the conditions on Mars,,,,,,,,,,,,,,,
SDBBP08,1.0,SDBBP_04-1_08,,,Which choice best states the main idea of the text?,"Even though there have been some changes in their role, jalis continue to preserve their communities’ histories.","Although jalis have many roles, many of them like teaching best.",Jalis have been entertaining the people within their communities for centuries.,Technology can now do some of the things jalis used to be responsible for.,,,,,,,,,,,,,,,
SDBBP09,1.0,SDBBP_04-1_09,,,Which choice best states the main idea of the text?,Buck has become less social since he began living with Thornton.,Buck mistrusts humans and does his best to avoid them.,Buck has been especially well liked by most of Thornton’s friends.,Buck holds Thornton in higher regard than any other person.,,,,,,,,,,,,,,,
SDBBP10,1.0,SDBBP_04-1_10,,,Which quotation from $\textit{The Souls of Black Folk}$ most effectively illustrates the claim?,“[Black folk music] still remains as the singular spiritual heritage of the nation and the greatest gift of the Negro people.”,"“Ever since I was a child these songs have stirred me strangely. They came out of the South unknown to me, one by one, and yet at once I knew them as of me and of mine.”","“Caricature has sought again to spoil the quaint beauty of the music, and has filled the air with many debased melodies which vulgar ears scarce know from the real. But the true Negro folk-song still lives in the hearts of those who have heard them truly sung and in the hearts of the Negro people.”","“The songs are indeed the siftings of centuries; the music is far more ancient than the words, and in it we can trace here and there signs of development.”",,,,,,,,,,,,,,,
SDBBP11,1.0,SDBBP_04-1_11,,,Which choice most effectively uses data from the graph to complete the example?,most of the farmers who mainly cultivated cereals and most of the farmers who mainly cultivated non-root vegetables in south Ondo were women.,more women in central Ondo mainly cultivated root crops than mainly cultivated cereals.,most of the farmers who mainly cultivated non-root vegetables in north and south Ondo were women.,a relatively equal proportion of women across the three regions of Ondo mainly cultivated cereals.,,,,,,,,,,,,,,,
SDBBP12,1.0,SDBBP_04-1_12,,,Which choice most logically completes the text?,overlook the many other factors that motivated F. Scott to write.,risk misrepresenting the full range of Zelda’s contributions to literature.,may draw inaccurate conclusions about how F. Scott and Zelda viewed each other’s works., tend to read the works of F. Scott and Zelda in an overly autobiographical light.,,,,,,,,,,,,,,,
SDBBP13,1.0,SDBBP_04-1_13,,,Which choice most logically completes the text?,fluctuations in atmospheric carbon dioxide affected different sauropod lineages differently.,the evolution of larger body sizes in sauropods did not depend on increased atmospheric carbon dioxide.,atmospheric carbon dioxide was higher when the largest known sauropods lived than it was when the first sauropods appeared.,sauropods probably would not have evolved to such immense sizes if atmospheric carbon dioxide had been even slightly higher.,,,,,,,,,,,,,,,
SDBBP14,1.0,SDBBP_04-1_14,,,Which choice completes the text so that it conforms to the conventions of Standard English?,Rawles$\text{---}$,Rawles:,"Rawles,",Rawles,,,,,,,,,,,,,,,
SDBBP15,1.0,SDBBP_04-1_15,,,Which choice completes the text so that it conforms to the conventions of Standard English?,"walls, with",walls with,walls so with,walls. with,,,,,,,,,,,,,,,
SDBBP16,1.0,SDBBP_04-1_16,,,Which choice completes the text so that it conforms to the conventions of Standard English?,grain’s physical properties’,grains’ physical properties,grains’ physical property’s,grains physical properties,,,,,,,,,,,,,,,
SDBBP17,1.0,SDBBP_04-1_17,,,Which choice completes the text so that it conforms to the conventions of Standard English?,parks and,parks,parks;,"parks,",,,,,,,,,,,,,,,
SDBBP18,1.0,SDBBP_04-1_18,,,Which choice completes the text so that it conforms to the conventions of Standard English?,was,were,are,have been,,,,,,,,,,,,,,,
SDBBP19,1.0,SDBBP_04-1_19,,,Which choice completes the text so that it conforms to the conventions of Standard English?,"cephalopods, ocean dwellers that include the squid, the octopus, and the cuttlefish","cephalopods$\text{---}$ocean dwellers$\text{---}$that include the squid, the octopus, and the cuttlefish,","cephalopods, ocean dwellers that include: the squid, the octopus, and the cuttlefish,","cephalopods$\text{---}$ocean dwellers that include the squid, the octopus, and the cuttlefish$\text{---}$",,,,,,,,,,,,,,,
SDBBP20,1.0,SDBBP_04-1_20,,,Which choice completes the text so that it conforms to the conventions of Standard English?,being,to be,to have been,will be,,,,,,,,,,,,,,,
SDBBP21,1.0,SDBBP_04-1_21,,,Which choice completes the text with the most logical transition?,"By contract,","Likewise,","Besides,","In fact,",,,,,,,,,,,,,,,
SDBBP22,1.0,SDBBP_04-1_22,,,The student wants to introduce the novel $\textit{The Holder of the World}$ to an audience already familiar with Bharati Mukherjee. Which choice most effectively uses relevant information from the notes to accomplish this goal?,Bharati Mukherjee’s settings include both twentieth-century United States and seventeenth-century India.,"In addition to her novel $\textit{The Holder of the World}$, which was published in 1993, Indian-born author Bharati Mukherjee wrote other novels and short stories.","Bharati Mukherjee’s novel $\textit{The Holder of the World}$ centers around two women, one living in twentieth-century United States and the other in seventeenth-century India.",$\textit{The Holder of the World}$ was not the only novel written by Indian-born author Bharati Mukherjee.,,,,,,,,,,,,,,,
SDBBP23,1.0,SDBBP_04-1_23,,,The student wants to present the study and its findings. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"In 2021, Chinsamy-Turan studied pterosaur jawbones and was initially unsure if the bones belonged to juveniles or adults.",Pterosaur jawbones located in the Sahara Desert were the focus of a 2021 study.,"In a 2021 study, Chinsamy-Turan used advanced microscope techniques to analyze the jawbones of pterosaurs, flying reptiles that existed millions of years ago.","In a 2021 study, Chinsamy-Turan determined that pterosaur jawbones located in the Sahara Desert had few growth lines relative to the bones of fully grown pterosaurs and thus belonged to juveniles.",,,,,,,,,,,,,,,
SDBBP24,1.0,SDBBP_04-1_24,,,The student wants to introduce Samuel Selvon and his novel The Lonely Londoners to a new audience. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"In 1956, Trinidadian author Samuel Selvon published one of his most celebrated novels, $\textit{The Lonely Londoners}$, which is about a group of men who emigrate from the Caribbean to Great Britain after World War II.",Samuel Selvon wrote the novel Moses Ascending after he wrote $\textit{The Lonely Londoners}$.,"$\textit{The Lonely Londoners}$, a celebrated novel that was published in 1956, depicts post-World War II Caribbean migration from the perspective of a Trinidadian author.",Some of the characters who appear in Samuel Selvon’s $\textit{Moses Ascending}$ also appear in $\textit{The Lonely Londoners}$.,,,,,,,,,,,,,,,
SDBBP25,1.0,SDBBP_04-1_25,,,The student wants to emphasize a similarity between the two sea turtle species. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Among the seven species of sea turtle is the olive ridley sea turtle, which can be found in the Atlantic Ocean.","The Kemp’s ridley sea turtle is referred to as $\textit{Lepidochelys kempii}$, while the olive ridley sea turtle is referred to as $\textit{Lepidochelys olivacea}$.",Both the Kemp’s ridley sea turtle and the olive ridley sea turtle can be found in the Atlantic Ocean.,The Kemp’s ridley sea turtle ($\textit{Lepidochelys kempii}$) and the olive ridley sea turtle ($\textit{Lepidochelys olivacea}$) are different species.,,,,,,,,,,,,,,,
