Passage ID,Introduction,Passage,https://staging1.prestigei.com/passage,Figure ID 1,Figure ID 2,,,,,,,,,,,,,,,,,,,,
SDBBP_02_01,,"As Mexico’s first president from an Indigenous community, Benito Juarez became one of the most ______ figures in his country’s history: among the many significant
accomplishments of his long tenure in office (1858-1872), Juarez consolidated the authority of the national government and advanced the rights of Indigenous peoples.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_02,,"Nigerian American author Teju Cole’s ______ his two passions—photography and the
written word$\text{---}$culminates in his 2017 book, $\textit{Blind Spot,}$ which evocatively combines his original photographs from his travels with his poetic prose.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_03,,"Artificially delivering biomolecules to plant cells is an important component of protecting plants from pathogens, but it is difficult to transmit biomolecules through the layers of the plant cell wall. Markita del Carpio Landry and her colleagues have shown that it may be
possible to ______ this problem by transmitting molecules through carbon nanotubes,
which can cross cell walls",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_04,,"According to Potawatomi ecologist Robin Wall Kimmerer, the Indigenous method of harvesting $\textit{Hierochloe odorata}$, or sweetgrass, by snapping die plant off at the root actually ______ wild populations: it may seem counterintuitive, she says, but this method of removal allows new sweetgrass plants to repopulate the space, with an overall increase in number and vigor.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_05,,"Research conducted by planetary scientist Katarina Miljkovic suggests that the Moon’s surface may not accurately ______ early impact events. When the Moon was still forming,
its surface was softer, and asteroid or meteoroid impacts would have left less of an impression; thus, evidence of early impacts may no longer be present.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_06,,"Anthropologist Kristian J. Carlson and colleagues examined the fossilized clavicle and shoulder bones of a 3.6-million-year-old early hominin known as “Little Foot.” They found that these bones were ______ the clavicle and shoulder bones of modern apes that are
frequent climbers, such as gorillas and chimpanzees, suggesting that Little Foot had adapted to life in the trees.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_07,,"The Cambrian explosion gets its name from the sudden appearance and rapid diversification of animal remains in the fossil record about 541 million years ago, during the Cambrian period. Some scientists argue that this ______ change in the fossil record
might be because of a shift in many organisms to body types that were more likely to be preserved.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_08,,"$\textbf{Text1}$ $\\ \, \\$
In 2007, a team led by Alice Storey analyzed a chicken bone found in El Arenal, Chile, dating it to 1321-1407 CE—over a century before Europeans invaded the region, bringing their own chickens. Storey also found that the El Arenal chicken shared a unique genetic mutation with the ancient chicken breeds of the Polynesian Islands in the Pacific. Thus, $\underbar{Polynesian peoples, not later Europeans, probably first introduced chickens to South America.}$
$\textbf{Text2}$ $\\ \, \\$
An Australian research team weakened the case for a Polynesian origin for the El Arenal chicken by confirming that the mutation identified by Storey has occurred in breeds from around the world. More recently, though, a team led by Agusto Luzuriaga-Neira found that South American chicken breeds and Polynesian breeds share other genetic markers that European breeds lack. Thus, the preponderance of evidence now favors a Polynesian origin.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_09,The following text is adapted from Edith Nesbit’s 1906 novel $\textit{The Railway Children.}$," Mother did not spend all her time in paying dull [visits] to dull ladies, and sitting dully at
home waiting for dull ladies to pay [visits] to her. She was almost always there, ready to play with the children, and read to them, and help them to do their home-lessons. Besides this she used to write stories for them while they were at school, and read them aloud after tea, and she always made up funny pieces of poetry for their birthdays and for other great occasions.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_10,,"Many insects are iridescent, or have colors that appear to shimmer and change when seen
from different angles. Scientists have assumed that this feature helps to attract mates but
could also attract predators. But biologist Karin Kjernsmo and a team had the idea that the shifting appearance of colors might actually make it harder for other animals to see
iridescent insects. To test this idea, the team put beetle forewings on leaves along a forest
path and then asked human participants to look for them. Some of the wings were
naturally iridescent. Others were painted with a nonchanging color from the iridescent spectrum, such as purple or blue.",,,,,,,,,,,,,,,,,,,,,,,
