Test ID,Section,Passage ID,Figure ID,Figure ID 2,Question,A,B,C,D,Answers,,,,,,,,,,,,,,
SDBBP01,1.0,SDBBP_04-2_01,,,Which choice completes the text with the most logical and precise word or phrase?,produced,denied,worried,predicted,,,,,,,,,,,,,,,
SDBBP02,1.0,SDBBP_04-2_02,,,Which choice completes the text with the most logical and precise word or phrase?,struggling,beneficial,simple,healthy,,,,,,,,,,,,,,,
SDBBP03,1.0,SDBBP_04-2_03,,,Which choice completes the text with the most logical and precise word or phrase?,acknowledged,ensured,denied,underestimated,,,,,,,,,,,,,,,
SDBBP04,1.0,SDBBP_04-2_04,,,Which choice completes the text with the most logical and precise word or phrase?,implement,presume,improvise,mimic,,,,,,,,,,,,,,,
SDBBP05,1.0,SDBBP_04-2_05,,,Which choice completes the text with the most logical and precise word or phrase?,vaildated,created,challenged,restored,,,,,,,,,,,,,,,
SDBBP06,1.0,SDBBP_04-2_06,,,Which choice completes the text with the most logical and precise word or phrase?,require,remember,foster,discourage,,,,,,,,,,,,,,,
SDBBP07,1.0,SDBBP_04-2_07,,,Which choice best describes the function of the underlined sentence in the text as a whole?,It introduces a physical feature of female cuckoos that is described later in the text.,It describes the appearance of the cuckoo nests mentioned earlier in the text., It offers a detail about how female cuckoos carry out the behavior discussed in the text.," It explains how other birds react to the female cuckoo behavior discussed in the
text.",,,,,,,,,,,,,,,
SDBBP08,1.0,SDBBP_04-2_08,,,Which choice best states the main purpose of the text?,To reveal the shop owner’s conflicted feelings about the new picture,To convey the shop owner’s resentment of the person he got the new picture from,To describe the items that the shop owner most highly prizes, To explain differences between the new picture and other pictures in the shop,,,,,,,,,,,,,,,
SDBBP09,1.0,SDBBP_04-2_09,,,"Based on the texts, how would the author of Text 2 most likely respond to the claims of the author of Text 1?",By arguing that a piece of art created digitally can still be displayed traditionally,"By explaining that it’s actually much harder to use a tablet and stylus to create
art than to use paint and a brush",By insisting that digital art requires artistic abilities and skill even if it employs less traditional tools,By admitting that most digital artists don’t think fundamental drawing skills are important,,,,,,,,,,,,,,,
SDBBP10,1.0,SDBBP_04-2_10,,,Which choice most effectively uses data from the graph to complete the text?, Washington had between 600 and 800 organic farms.,New York had fewer than 800 organic farms.,"Wisconsin and Iowa each had between 1,200 and 1,400 organic farms.","Pennsylvania had more titan 1,200 organic farms.",,,,,,,,,,,,,,,
SDBBP11,1.0,SDBBP_04-2_11,,,"Which quotation from “John of God, the Water-Carrier” most effectively illustrates the claim?","“Very happy, he would jog home, the heavy silver pieces in his leather pockets making a discreet and dulcet $\textit{‘trink-trak’}$ between his jugs and his body.”","“He learned that the city $\textit{aguador}$ may not blow his whistle to halt the traffic while he gravely crosses the street, but must wait for the passing of many vehicles, some with horses and some outlandishly without.”","“From early morn to the fall of the afternoon he would go from fountain to fountain and from portal to portal, his lean body so accustomed to bending that he never thought of straightening it, his head bowed as if in prayer.”","“When his first jugs had worn out—the sweet-scented, porous red clay becomes perforated in time—he had buried them to their necks in the corner where he slept, and they were now his treasury.”",,,,,,,,,,,,,,,
SDBBP12,1.0,SDBBP_04-2_12,,,Which quotation from “Loon Point” most effectively illustrates the claim?,"“Through the water the moon writes her legends I In light, on the smooth, wet sand.”",“Softly the water ripples / Against the canoe’s curving side.”, “Or like the snow-white petals / Which drop from an overblown rose.”,“But the moon in her wayward beauty / Is ever and always the same.”,,,,,,,,,,,,,,,
SDBBP13,1.0,SDBBP_04-2_13,,,Which choice best describes data from the table that support the researchers’ claim?,"For all five species, less than 75% of juvenile plants were growing in patches of vegetation.",The species with the greatest number of juvenile plants growing in patches of vegetation was $\textit{H. stoechas.}$,"For $\textit{T. libanitis}$ and $\textit{T. moroderi,}$ the percentage of juvenile plants growing in patches of vegetation was less than what would be expected if plants were randomly distributed.","For each species, the percentage of juvenile plants growing in patches of vegetation was substantially higher than what would be expected if plants were randomly distributed.",,,,,,,,,,,,,,,
